instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s
ali535_025.txt,ali535,25,1,42,9776.7333,4322.7679,4322.7679,34,8,0.1756
ali535_025.txt,ali535,25,2,43,7497.5463,4039.9674,4039.9674,7,1,0.0906
ali535_025.txt,ali535,25,3,44,9422.6029,4782.2325,4782.2325,5,0,0.1434
ali535_025.txt,ali535,25,4,45,7675.4445,4434.9546,4401.4798,53,18,0.1854
ali535_025.txt,ali535,25,5,46,7098.9303,4618.7336,4119.6264,45,15,0.2009
ali535_150.txt,ali535,150,1,42,3724.1594,1724.2747,1724.2747,8,1,0.2888
ali535_150.txt,ali535,150,2,43,3813.8313,1679.0057,1664.9622,12,3,0.2986
ali535_150.txt,ali535,150,3,44,4788.6755,1976.1020,1964.7971,51,22,0.4928
ali535_150.txt,ali535,150,4,45,4645.5261,1713.1097,1713.1097,32,11,0.3486
ali535_150.txt,ali535,150,5,46,3765.1522,1953.2837,1921.5767,39,14,0.4515
fnl4461_0020.txt,fnl4461,20,1,42,2741673.7341,1311635.6905,1311635.6905,26,9,11.1110
fnl4461_0020.txt,fnl4461,20,2,43,1997710.6498,1355493.6264,1355493.6264,5,0,15.3704
fnl4461_0020.txt,fnl4461,20,3,44,2010666.6169,1312724.3148,1312724.3148,8,1,4.7178
fnl4461_0020.txt,fnl4461,20,4,45,2194684.8368,1317795.8189,1317795.8189,11,2,6.8028
fnl4461_0020.txt,fnl4461,20,5,46,1859798.7401,1300302.4595,1300302.4595,5,0,4.2528
