instance,group,p,run,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,cs_observations,cs_active_clusters,cs_new_clusters,cs_center_updates,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_destroy_repair_calls,cs_destroy_repair_improvements,cs_ils_promotions,time_ils_s,time_total_s,status
ali535_025.txt,ali535,25,1,42,4537.9706,3948.1125,3707.9753,149,20,149,12,12,36,27,12,71.8743,2,0,7,91.3321,91.8133,OK
ali535_025.txt,ali535,25,2,43,3842.2534,3842.2534,3708.2848,135,8,135,12,12,22,25,8,158.4178,2,0,4,60.2277,60.3594,OK
ali535_025.txt,ali535,25,3,44,4453.4887,3847.3078,3720.4053,151,12,151,12,12,32,27,9,138.1469,4,0,4,77.9891,78.2613,OK
ali535_025.txt,ali535,25,4,45,4013.1037,3955.6086,3696.5566,139,17,139,12,12,42,23,12,150.1978,3,0,5,54.9532,55.1483,OK
ali535_025.txt,ali535,25,5,46,4080.3693,3958.9556,3722.8177,168,10,168,12,12,27,31,9,28.1733,6,0,4,89.5477,89.8109,OK
ali535_150.txt,ali535,150,1,42,1447.2261,1118.9276,1052.3067,55,11,55,1,1,19,11,5,42.3813,0,0,4,149.2821,154.7970,OK
ali535_150.txt,ali535,150,2,43,1663.4147,1110.4651,1061.6602,26,8,26,1,1,11,5,2,13.0290,0,0,2,120.3581,127.4853,OK
ali535_150.txt,ali535,150,3,44,1742.4064,1134.8884,1048.7551,26,11,26,1,1,14,5,5,60.1192,0,0,5,120.0693,128.8819,OK
ali535_150.txt,ali535,150,4,45,1611.9871,1096.5809,1058.0008,25,10,25,1,1,11,5,3,22.2446,0,0,2,147.1298,154.5433,OK
ali535_150.txt,ali535,150,5,46,1549.8658,1119.9825,1055.0130,19,10,19,1,1,11,3,3,34.9204,0,0,3,120.2673,126.3806,OK
fnl4461_0020.txt,fnl4461,20,1,42,1317502.5434,1317502.5434,1293569.8435,37,15,37,12,12,10,4,4,1297.8344,0,0,4,312.7409,334.0068,OK
fnl4461_0020.txt,fnl4461,20,2,43,1316627.0741,1315856.4594,1295483.7509,20,3,20,12,12,2,1,1,268.5097,0,0,1,305.4923,326.3264,OK
fnl4461_0020.txt,fnl4461,20,3,44,1301928.8351,1300221.1352,1285083.6152,39,8,39,12,12,8,5,4,6304.1676,0,0,4,358.1284,378.6854,OK
fnl4461_0020.txt,fnl4461,20,4,45,1318246.1995,1317617.6619,1291887.9513,33,8,33,12,12,4,4,1,10.1649,1,0,1,331.9400,350.5168,OK
fnl4461_0020.txt,fnl4461,20,5,46,1301157.8189,1301157.8189,1285858.6048,40,8,40,12,12,7,5,4,3404.8001,0,0,4,308.4481,323.1101,OK
fnl4461_0250.txt,fnl4461,250,1,42,364402.5791,359116.1369,352959.0981,5,2,5,1,1,3,1,1,5426.6912,0,0,1,522.5228,1112.1091,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,88901.5631,51,8,51,12,12,8,7,1,2175.5838,1,0,1,69.4126,69.4770,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,88901.5631,82,4,82,12,12,13,13,3,3435.5627,2,0,2,24.7883,24.8268,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,88901.5631,89,11,89,12,12,19,14,7,3703.6466,2,0,6,60.0877,60.1218,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,88901.5631,69,4,69,12,12,9,10,3,2142.1629,2,0,1,17.7389,17.7770,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,88901.5631,109,12,109,12,12,19,17,6,615.9802,0,0,2,80.5966,80.6212,OK
lin318_100.txt,lin318,100,1,42,39411.9418,25174.4225,23420.6377,65,14,65,1,1,22,13,3,337.5245,0,0,3,64.6722,65.6941,OK
lin318_100.txt,lin318,100,2,43,33141.1372,24296.0829,23950.5307,10,4,10,1,1,4,2,1,24.3026,0,0,1,65.1611,66.2153,OK
lin318_100.txt,lin318,100,3,44,33747.1311,25041.2108,23143.1746,85,19,85,2,2,25,17,1,150.7148,1,0,1,62.6591,63.6226,OK
lin318_100.txt,lin318,100,4,45,31247.2658,25192.9226,23263.2192,55,13,55,1,1,16,11,6,652.4889,0,0,2,63.7685,64.6931,OK
lin318_100.txt,lin318,100,5,46,35139.5797,24511.4695,23354.2328,80,12,80,1,1,20,16,5,461.0670,0,0,4,67.8402,68.8978,OK
pr2392_075.txt,pr2392,75,1,42,1161135.4784,1157060.7232,1130449.5663,17,8,17,1,1,8,3,3,5980.6071,0,0,3,301.0049,333.6348,OK
pr2392_075.txt,pr2392,75,2,43,1159324.1823,1153440.4008,1122356.3699,18,8,18,2,2,7,3,3,9443.5195,0,0,3,322.9418,348.0268,OK
pr2392_075.txt,pr2392,75,3,44,1165306.3136,1159439.0359,1119069.0616,21,7,21,1,1,8,4,3,10458.5229,0,0,3,347.7719,380.3304,OK
pr2392_075.txt,pr2392,75,4,45,1146517.0797,1128575.2371,1121853.1782,12,2,12,1,1,2,2,1,464.0637,0,0,1,308.2055,346.0773,OK
pr2392_075.txt,pr2392,75,5,46,1168626.5424,1162703.9002,1121866.8670,22,9,22,1,1,9,4,3,11338.4966,0,0,3,307.5688,342.2573,OK
rl1304_050.txt,rl1304,50,1,42,891466.9496,881355.5621,824907.3253,57,11,57,8,8,13,10,6,18090.2341,0,0,4,300.9512,307.0107,OK
rl1304_050.txt,rl1304,50,2,43,870136.4385,868045.6852,808994.6988,67,12,67,12,12,14,11,5,32909.2259,2,0,5,305.6989,310.8847,OK
rl1304_050.txt,rl1304,50,3,44,886098.6011,885448.1292,811306.9240,84,12,84,12,12,14,15,8,38337.9501,2,0,5,303.1897,306.9484,OK
rl1304_050.txt,rl1304,50,4,45,871788.5803,868828.8074,815890.7826,90,16,90,12,12,23,14,8,8347.8443,1,0,6,303.3293,305.9170,OK
rl1304_050.txt,rl1304,50,5,46,872626.3149,837077.6959,809368.7208,81,16,81,12,12,17,14,9,16138.2104,0,0,9,308.1869,311.5890,OK
rl1304_300.txt,rl1304,300,1,42,274522.9010,201746.6860,194542.9776,23,7,23,1,1,8,4,3,6178.0564,0,0,3,304.0382,408.7251,OK
rl1304_300.txt,rl1304,300,2,43,273575.0329,210341.1047,194554.6861,20,9,20,1,1,11,4,4,12105.6404,0,0,4,334.7180,459.8737,OK
rl1304_300.txt,rl1304,300,3,44,305855.3215,206602.2409,194663.4655,27,9,27,1,1,11,5,3,10065.0851,0,0,2,313.5224,478.5271,OK
rl1304_300.txt,rl1304,300,4,45,301904.2390,211278.5212,194451.8906,30,7,30,1,1,7,6,1,15124.1650,0,0,1,310.6800,443.9886,OK
rl1304_300.txt,rl1304,300,5,46,256549.8478,207106.5911,196266.2695,27,10,27,1,1,12,5,3,8900.4426,0,0,2,302.3998,422.8544,OK
u724_030.txt,u724,30,1,42,101518.2323,101518.2323,95536.0497,149,14,149,12,12,24,25,9,2216.2371,3,0,6,69.9772,70.2778,OK
u724_030.txt,u724,30,2,43,97104.3226,97104.3226,95815.6236,75,4,75,12,12,13,10,4,2494.7989,1,0,2,42.9020,43.3428,OK
u724_030.txt,u724,30,3,44,98329.4928,97039.4800,95903.5336,107,7,107,12,12,13,19,8,2393.5009,3,0,4,57.9222,58.3996,OK
u724_030.txt,u724,30,4,45,105123.7522,104722.0907,95486.8475,176,12,176,12,12,28,32,12,3601.4670,4,0,5,120.8994,121.5124,OK
