T2 - Best values vs literatura (gap = (Z-BKS)/BKS*100, positivo=pior)
=========================================================================================================
   Instancia         BKS      Hybrid  gap_H%     Freitas  gap_F%  Stefanello  gap_S%  Vasconcelos  gap_V%
=========================================================================================================
    lin318_5   180281.20   180281.21  +0.000   180343.00  +0.034   180281.20  +0.000    180281.21  +0.000
   lin318_15    88901.56    88901.56  +0.000    89041.59  +0.158    88901.56  +0.000     89026.28  +0.140
   lin318_40    47982.75    47996.21  +0.028    48091.32  +0.226    47988.38  +0.012     47982.75  +0.000
   lin318_70    32198.64    32312.45  +0.353    32293.75  +0.295    32198.64  +0.000     32201.75  +0.010
  lin318_100    22942.69    22969.54  +0.117    23041.87  +0.432    22942.69  +0.000     22971.72  +0.127
    ali535_5     9933.43     9956.77  +0.235    10003.21  +0.702     9956.77  +0.235      9933.43  +0.000
   ali535_25     3688.51     3702.39  +0.376     3702.10  +0.368     3695.15  +0.180      3688.51  +0.000
   ali535_50     2458.70     2475.19  +0.671     2503.34  +1.816     2461.41  +0.110      2458.70  +0.000
  ali535_100     1433.60     1455.05  +1.496     1462.58  +2.021     1438.42  +0.336      1433.60  +0.000
  ali535_150     1025.37     1041.00  +1.524     1036.85  +1.120     1032.28  +0.674      1025.37  +0.000
     u724_10   181782.96   181778.64  -0.002   182036.23  +0.139   181782.96  +0.000    181823.17  +0.022
     u724_30    95034.01    95249.16  +0.226    95201.56  +0.176    95034.01  +0.000     95222.02  +0.198
     u724_75    54735.05    55014.71  +0.511    54912.78  +0.325    54735.05  +0.000     54913.01  +0.325
    u724_125    38976.76    39078.08  +0.260    39127.45  +0.387    38976.76  +0.000     39196.73  +0.564
    u724_200    28079.97    28147.27  +0.240    28719.14  +2.276    28079.97  +0.000     28340.10  +0.926
   rl1304_10  2146484.10  2146830.48  +0.016  2158869.31  +0.577  2146484.10  +0.000   2221470.50  +3.493
   rl1304_50   802283.41   806145.65  +0.481   803974.59  +0.211   802283.41  +0.000    803150.33  +0.108
  rl1304_100   495925.93   502548.49  +1.335   498516.64  +0.522   498090.74  +0.437    497796.79  +0.377
  rl1304_200   276310.25   278897.45  +0.936   277698.41  +0.502   276977.60  +0.242    276310.25  +0.000
  rl1304_300   191224.85   192438.09  +0.634   193214.26  +1.040   191224.85  +0.000    191544.95  +0.167
   pr2392_20  2235376.73  2230356.88  -0.225  2244317.72  +0.400  2235376.73  +0.000   2332221.94  +4.332
   pr2392_75  1092294.02  1097888.12  +0.512  1099723.42  +0.680  1092294.02  +0.000   1132362.51  +3.668
  pr2392_150   711119.29   714303.67  +0.448   713906.38  +0.392   711119.29  +0.000    733273.63  +3.115
  pr2392_300   458145.29   460115.98  +0.430   459906.71  +0.384   458145.29  +0.000    475276.82  +3.739
  pr2392_500   316042.97   318487.44  +0.773   317689.13  +0.521   316042.97  +0.000    321174.72  +1.624
  fnl4461_20  1283536.73  1283901.75  +0.028  1300603.87  +1.330  1283536.73  +0.000   1311798.15  +2.202
 fnl4461_100   548909.01   554594.22  +1.036   551321.58  +0.440   548909.01  +0.000    560030.68  +2.026
 fnl4461_250   335888.87   340207.19  +1.286   336789.92  +0.268   335888.87  +0.000    339654.89  +1.121
 fnl4461_500   224684.24   228721.76  +1.797   228994.53  +1.918   224684.24  +0.000    232173.69  +3.333
fnl4461_1000   145862.38   148132.49  +1.556   146508.37  +0.443   145862.38  +0.000    150366.44  +3.088
   p3038_600   122711.17   124180.05  +1.197   122918.75  +0.169   122711.17  +0.000    122752.19  +0.033
   p3038_700   109381.22   111100.90  +1.572   110923.64  +1.410   109677.30  +0.271    109381.22  +0.000
   p3038_800    99054.98   101369.95  +2.337   100428.31  +1.386   100064.94  +1.020     99054.98  +0.000
   p3038_900    90969.96    93470.32  +2.749    92587.42  +1.778    92310.09  +1.473     90969.96  +0.000
  p3038_1000    83693.38    86877.18  +3.804    86153.89  +2.940    85854.05  +2.582     83693.38  +0.000
=========================================================================================================
