T3 - Media, desvio padrao, coeficiente de variacao e tempo (gap_M = (Mean - FreitasMean)/FreitasMean*100, positivo=pior)
==========================================================================
   Instancia   n        Mean      Std    CV%   Freitas_M  gap_M%  t_avg(s)
==========================================================================
    lin318_5  10   180281.21     0.00  0.000   181154.00  -0.482      14.4
   lin318_15  10    88901.56     0.00  0.000    89205.59  -0.341      39.8
   lin318_40  10    48183.24   143.02  0.297    48129.93  +0.111      88.0
   lin318_70  10    32429.36   122.72  0.378    32405.49  +0.074     277.1
  lin318_100  10    23113.40    92.44  0.400    23208.57  -0.410     716.2
    ali535_5  10     9956.77     0.00  0.000    10356.43  -3.859      13.2
   ali535_25  10     3720.72    16.67  0.448     3826.45  -2.763      45.9
   ali535_50  10     2497.50    12.97  0.519     2539.37  -1.649     202.3
  ali535_100  10     1462.20     6.63  0.453     1502.58  -2.688     287.3
  ali535_150  10     1046.19     3.14  0.300     1078.35  -2.983     902.7
     u724_10  10   181931.55   165.78  0.091   182971.52  -0.568      21.4
     u724_30  10    95615.87   271.60  0.284    95821.23  -0.214      28.1
     u724_75  10    55211.34   188.27  0.341    55152.13  +0.107     117.1
    u724_125  10    39311.10   168.49  0.429    39614.61  -0.766     199.0
    u724_200  10    28381.77   182.07  0.642    28897.76  -1.786     579.3
   rl1304_10  10  2148729.23  4002.91  0.186  2225719.83  -3.459     177.9
   rl1304_50  10   810918.54  3427.48  0.423   809531.15  +0.171     143.0
  rl1304_100  10   504545.72  1633.03  0.324   499324.28  +1.046     353.7
  rl1304_200  10   280844.44  1452.04  0.517   278316.37  +0.908     768.6
  rl1304_300  10   193607.78  1102.76  0.570   193713.08  -0.054     980.6
   pr2392_20  10  2232794.53  3000.01  0.134  2336529.16  -4.440     397.8
   pr2392_75  10  1101961.41  4864.01  0.441  1134301.54  -2.851     404.8
  pr2392_150  10   719420.33  2306.74  0.321   714281.51  +0.719     880.0
  pr2392_300  10   462839.31  1709.63  0.369   463987.13  -0.247    1722.0
  pr2392_500  10   319975.21  1078.67  0.337   319698.34  +0.087    2523.5
  fnl4461_20  10  1285017.97   928.80  0.072  1314504.75  -2.243     775.7
 fnl4461_100  10   556303.68  1490.27  0.268   560981.32  -0.834    1424.3
 fnl4461_250  10   343460.21  1791.26  0.522   340197.14  +0.959    1788.0
 fnl4461_500  10   230132.74   962.05  0.418   232506.71  -1.021    3337.6
fnl4461_1000  10   150568.12  1251.21  0.831   150584.92  -0.011    4233.9
   p3038_600  10   125049.63   819.24  0.655   125098.61  -0.039    2836.7
   p3038_700  10   111459.08   385.88  0.346   111098.21  +0.325    3527.9
   p3038_800  10   101776.53   334.74  0.329   101104.56  +0.665    3521.7
   p3038_900  10    93948.72   273.10  0.291    93287.42  +0.709    3794.3
  p3038_1000  10    87158.26   224.18  0.257    86934.94  +0.257    4067.5
==========================================================================
