instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,181992.4091,20,0,0.3721,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,183718.2952,20,0,0.4015,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,181992.4091,20,0,0.3505,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,182733.3937,20,0,0.4709,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,181992.4091,20,0,0.5990,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,97435.2775,26,1,1.3933,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,93060.3002,55,3,2.5869,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,95792.4318,20,0,1.1030,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,92908.6479,21,1,0.9830,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,94161.0547,46,2,2.4083,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9985.2059,20,0,2.1035,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,1.7987,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,11172.3980,34,2,2.8889,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,10004.4554,20,0,1.5451,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,10004.4554,20,0,1.4289,OK
u724_075.txt,u724,75,1,42,62243.5876,58159.1479,58152.6692,36,1,38.4259,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,58895.3548,20,0,21.5887,OK
u724_075.txt,u724,75,3,44,60482.0069,58419.6946,58419.6946,20,0,26.9232,OK
u724_075.txt,u724,75,4,45,61794.8699,59861.3679,59861.3679,20,0,21.4141,OK
u724_075.txt,u724,75,5,46,62443.5591,58607.1087,58607.1087,20,0,26.0416,OK
rl1304_010.txt,rl1304,10,1,42,2240382.2565,2213873.7548,2213712.8764,50,2,34.7356,OK
rl1304_010.txt,rl1304,10,2,43,2204928.7593,2202433.0871,2202383.3688,38,1,24.1097,OK
rl1304_010.txt,rl1304,10,3,44,2203450.5601,2176368.3325,2176368.3325,20,0,14.0744,OK
rl1304_010.txt,rl1304,10,4,45,2200781.6309,2187021.3500,2187021.3500,20,0,14.3342,OK
rl1304_010.txt,rl1304,10,5,46,2252705.8345,2241188.6866,2239583.8356,51,3,33.6582,OK
