instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,partial_opt_cost,partial_opt_improved,ils_iterations,ils_improvements,time_partial_opt_s,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180359.4443,180359.4443,nao,47,7,5.1984,6.2371,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180298.4429,180298.4429,nao,31,4,5.8291,6.5128,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180623.3198,180623.3198,nao,36,3,2.9889,4.0092,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180359.4443,180359.4443,nao,46,6,6.4460,7.4282,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180282.3788,180282.3788,nao,33,3,2.8783,4.0549,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,89587.8326,89549.8240,sim,78,13,0.6507,11.6150,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,90509.8694,90167.2742,sim,53,6,1.4244,11.3539,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,88939.5716,88901.5631,sim,86,14,0.6146,12.4636,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,89944.0093,89838.6010,sim,31,4,0.6039,4.0485,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89237.5245,89199.5159,sim,55,8,0.6590,7.2930,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,9956.7698,nao,50,6,2.4872,9.2671,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,9956.7698,nao,20,0,2.3131,3.8081,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,9956.7698,nao,23,2,2.4192,6.8020,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,9956.7698,nao,37,3,2.2523,8.5503,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9956.7698,9956.7698,nao,36,4,2.6319,6.7818,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,57043.7991,57043.7991,nao,38,9,0.0504,76.3485,OK
