instance,group,p,run,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,cs_observations,cs_active_clusters,cs_new_clusters,cs_center_updates,cs_po_triggers,cs_po_improvements,cs_po_total_gain,time_ils_s,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180281.2051,47,9,47,12,12,15,5,3,65.7447,31.9760,31.9972,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180281.2051,34,5,34,8,8,11,4,2,17.2378,19.7573,19.7739,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180281.2051,55,5,55,12,12,13,7,2,292.9153,29.7669,29.7884,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180281.2051,47,5,47,12,12,14,6,3,577.7472,37.3103,37.3315,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,181975.2279,30,2,30,11,11,7,3,1,8.2228,10.8093,10.8401,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,88901.5631,37,8,37,12,12,6,4,1,2175.5838,48.5228,48.6420,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,88901.5631,47,6,47,12,12,10,6,2,2042.4139,32.9662,33.0669,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,89666.1189,46,9,46,12,12,13,6,5,2811.4714,60.8405,60.9129,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,88901.5631,29,4,29,12,12,3,3,1,2036.7545,9.1188,9.2559,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,88901.5631,80,11,80,12,12,18,11,6,2015.6871,51.4698,51.5345,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,25,2,25,7,7,3,3,1,27.6199,8.4524,8.6748,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,20,3,3,2,3,1,0.0000,5.6555,5.7447,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,23,2,23,9,9,3,2,1,0.0000,5.6886,5.9588,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,32,3,32,10,10,5,3,1,0.9716,8.2371,8.3583,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9956.7698,29,4,29,7,7,5,3,1,0.9818,7.1466,7.2249,OK
u724_075.txt,u724,75,1,42,62243.5876,58159.1479,54863.0832,45,11,45,1,1,13,9,6,2476.3789,122.5190,129.3476,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,54956.9977,52,10,52,3,3,11,10,3,2527.8381,120.2207,125.0964,OK
u724_075.txt,u724,75,3,44,60482.0069,58419.6946,55853.3831,25,6,25,1,1,7,5,2,1679.4926,122.7889,128.8941,OK
u724_075.txt,u724,75,4,45,61794.8699,59861.3679,55284.9315,49,6,49,2,2,7,9,2,3093.8144,121.5565,125.4090,OK
u724_075.txt,u724,75,5,46,62443.5591,58607.1087,55904.0260,21,11,21,1,1,11,4,3,1693.1073,120.1072,125.9836,OK
rl1304_010.txt,rl1304,10,1,42,2240382.2565,2213873.7548,2148500.6186,101,25,101,12,12,30,16,9,12483.9555,304.4083,308.0204,OK
rl1304_010.txt,rl1304,10,2,43,2204928.7593,2202433.0871,2148700.3685,92,20,92,12,12,28,15,7,18009.8359,304.3553,305.6241,OK
rl1304_010.txt,rl1304,10,3,44,2203450.5601,2176368.3325,2149384.8398,48,6,48,12,12,5,6,2,559.9089,200.7351,204.2364,OK
rl1304_010.txt,rl1304,10,4,45,2200781.6309,2187021.3500,2156635.9696,70,12,70,12,12,15,10,4,2233.0281,300.2230,302.1954,OK
rl1304_010.txt,rl1304,10,5,46,2252705.8345,2241188.6866,2149861.2410,52,16,52,12,12,16,7,3,764.0587,135.7613,138.4485,OK
